latitude,longitude,FID,OBJECTID,LABEL,NOTES,TYPE,ELEVATION,DEPTH,PROXIMITY,TEMPERATUR,WAYPOINT,COMMENT,LONGITUDE,LATITUDE,URL
-87.54361720,33.20484080,189,196,Saint Gregory Orthodox Church (historical), ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.543620,33.204840, 
-87.58278500,33.20484090,190,197,West End Methodist Church, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.582790,33.204840, 
-87.56750670,33.20539640,191,199,First Presbyterian Church, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.567510,33.205400, 
-87.51806090,33.20567410,192,200,Holy Cross Lutheran Church, ,Church,291.990000,0.000000,0.000000,0.000000, , ,-87.518060,33.205670, 
-87.56333990,33.20567420,193,201,Saint Pauls Church (historical), ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.563340,33.205670, 
-87.54500610,33.20567420,194,202,First Christian Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.545010,33.205670, 
-87.55306190,33.20595190,195,203,Calvary Baptist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.553060,33.205950, 
-87.54667290,33.20595190,196,204,Trinity United Methodist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.546670,33.205950, 
-87.50444930,33.20622950,197,205,Tuscaloosa Life Church, ,Church,324.800000,0.000000,0.000000,0.000000, , ,-87.504450,33.206230, 
-87.56889570,33.20622970,198,206,Saint Johns Holy Name Catholic Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.568900,33.206230, 
-87.50889400,33.20650740,199,207,Alberta Baptist Church, ,Church,291.990000,0.000000,0.000000,0.000000, , ,-87.508890,33.206510, 
-87.56722890,33.20650750,200,208,First United Methodist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.567230,33.206510, 
-87.54195040,33.20678520,201,209,University Lutheran Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.541950,33.206790, 
-87.55528420,33.20678530,202,210,Second Baptist Church (historical), ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.555280,33.206790, 
-87.55361750,33.20678530,203,211,Brandon Memorial Methodist Church (historical), ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.553620,33.206790, 
-87.55361750,33.20678530,204,212,Riverwood Presbyterian Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.553620,33.206790, 
-87.56667340,33.20734080,205,213,First Baptist Church of Tuscaloosa, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.566670,33.207340, 
-87.57084020,33.20761860,206,214,Saint Phillips Church (historical), ,Church,216.540000,0.000000,0.000000,0.000000, , ,-87.570840,33.207620, 
-87.54250600,33.20789630,208,216,Canterbury Chapel Episcopal Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.542510,33.207900, 
-87.56472890,33.20789640,209,217,All Nations Church of Jesus Christ, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.564730,33.207900, 
-87.55278410,33.20817410,210,218,University Presbyterian Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.552780,33.208170, 
-87.54111710,33.20817410,211,219,Baptist Student Center, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.541120,33.208170, 
-87.56861790,33.20817420,212,220,Christ Episcopal Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.568620,33.208170, 
-87.56445110,33.20845190,213,221,Faith Chapel, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.564450,33.208450, 
-87.50694940,33.20872950,214,222,Alberta Church of the Nazarene, ,Church,321.520000,0.000000,0.000000,0.000000, , ,-87.506950,33.208730, 
-87.56611780,33.20872970,215,223,Beacon Light Baptist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.566120,33.208730, 
-87.57222910,33.20900750,216,224,Bible Missionary Church, ,Church,216.540000,0.000000,0.000000,0.000000, , ,-87.572230,33.209010, 
-87.51139410,33.21067400,217,225,Pilgrim Rest Baptist Church, ,Church,311.680000,0.000000,0.000000,0.000000, , ,-87.511390,33.210670, 
-87.55722870,33.21122960,218,226,Trinity Episcopal Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.557230,33.211230, 
-87.55389530,33.21122960,219,227,University Church of Christ (historical), ,Church,213.250000,0.000000,0.000000,0.000000, , ,-87.553900,33.211230, 
-87.56166670,33.21138890,220,228,Capstone Church, ,Church,229.660000,0.000000,0.000000,0.000000, , ,-87.561670,33.211390, 
-87.55528420,33.21150740,221,229,University Worship Center, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.555280,33.211510, 
-87.48278220,33.21178490,222,230,New Testament Baptist Church, ,Church,347.770000,0.000000,0.000000,0.000000, , ,-87.482780,33.211780, 
-87.48861560,33.21206260,223,231,Eastside Freewill Baptist Church, ,Church,383.860000,0.000000,0.000000,0.000000, , ,-87.488620,33.212060, 
-87.51250520,33.21428500,224,232,Beards African Methodist Episcopal Zion Chapel, ,Church,298.560000,0.000000,0.000000,0.000000, , ,-87.512510,33.214280, 
-87.50389390,33.21484040,225,233,Eastern Hills Baptist Church, ,Church,360.890000,0.000000,0.000000,0.000000, , ,-87.503890,33.214840, 
-87.51306080,33.21539600,226,234,Piney Grove Missionary Baptist Church, ,Church,285.430000,0.000000,0.000000,0.000000, , ,-87.513060,33.215400, 
-87.48917130,33.21650700,227,235,Alberta Church of God, ,Church,413.390000,0.000000,0.000000,0.000000, , ,-87.489170,33.216510, 
-87.60361890,33.21928510,229,237,Northport Church of the Nazarene, ,Church,144.360000,0.000000,0.000000,0.000000, , ,-87.603620,33.219290, 
-87.57306260,33.21984050,230,238,Solid Rock Primitive Baptist Church, ,Church,147.640000,0.000000,0.000000,0.000000, , ,-87.573060,33.219840, 
-87.58472950,33.22039610,231,239,Central Baptist Church, ,Church,164.040000,0.000000,0.000000,0.000000, , ,-87.584730,33.220400, 
-87.57500700,33.22039610,232,240,Bridge Avenue Church of God, ,Church,150.920000,0.000000,0.000000,0.000000, , ,-87.575010,33.220400, 
-87.57945160,33.22067390,233,241,Northport First United Methodist Church, ,Church,150.920000,0.000000,0.000000,0.000000, , ,-87.579450,33.220670, 
-87.58084050,33.22261820,236,244,Convent Assembly of God Church, ,Church,160.760000,0.000000,0.000000,0.000000, , ,-87.580840,33.222620, 
-87.58028500,33.22261820,237,245,Northport Baptist Church, ,Church,160.760000,0.000000,0.000000,0.000000, , ,-87.580290,33.222620, 
